station_code,name,name_en,phone,address,elevator,lat,lng
133,범어사역,Beomeosa,051-678-6133,부산광역시 금정구 중앙대로 지하 2107,O,35.273105,129.092679
134,노포역,Nopo,051-678-6134,부산광역시 금정구 중앙대로 2238,O,35.28468657,129.094967
201,장산역,Jangsan,051-678-6201,부산광역시 해운대구 해운대로 지하 820,O,35.169914,129.176986
202,중동역,Jung-dong,051-678-6202,부산광역시 해운대구 해운대로 지하 730,O,35.1667,129.168604
203,해운대역,Haeundae,051-678-6203,부산광역시 해운대구 해운대로 지하 626,O,35.163672,129.158908
204,동백역,Dongbaek,051-678-6204,부산광역시 해운대구 해운대로 지하 522,O,35.161484,129.147897
205,시립미술관역,Busan Museum of Art,051-678-6205,부산광역시 해운대구 해운대로 지하 396,O,35.168844,129.138933
206,센텀시티역,Centum City,051-678-6206,부산광역시 해운대구 센텀남대로 지하 76,O,35.168827,129.131745
207,민락역,Millak,051-678-6207,부산광역시 수영구 수영로 지하 769,O,35.167228,129.121909
208,수영역,Suyeong,051-678-6208,부산광역시 수영구 수영로 지하 677,O,35.165227,129.114713
209,광안역,Gwangan,051-678-6209,부산광역시 수영구 수영로 지하 576,O,35.157916,129.113168
210,금련산역,Geumnyeonsan,051-678-6210,부산광역시 수영구 수영로 지하 482,O,35.149771,129.110961
211,남천역,Namcheon,051-678-6211,부산광역시 수영구 수영로 지하 410,O,35.142139,129.107978
212,경성대부경대역,Kyungsung Univ. Pukyong Nat''''''''l Univ.,051-678-6212,부산광역시 남구 수영로 지하 324,O,35.137585,129.100548
213,대연역,Daeyeon,051-678-6213,부산광역시 남구 수영로 지하 242,O,35.135153,129.092161
214,못골역,Motgol,051-678-6214,부산광역시 남구 수영로 지하 170,O,35.134731,129.084415
215,지게골역,Jigegol,051-678-6215,부산광역시 남구 수영로 지하 70,O,35.135574,129.074365
216,문현역,Munhyeon,051-678-6216,부산광역시 남구 전포대로 지하 17,O,35.139151,129.067399
217,국제금융센터부산은행역,Busan Int''''''''l Finance Center Busan Bank,051-678-6217,부산광역시 남구 전포대로 지하 97,O,35.145817,129.066755
218,전포역,Jeonpo,051-678-6218,부산광역시 부산진구 전포대로 지하 181,O,35.153102,129.065374
219,서면역(2호선),Seomyeon,051-678-6219,부산광역시 부산진구 중앙대로 지하 730,O,35.15774,129.059084
220,부암역,Buam,051-678-6220,부산광역시 부산진구 가야대로 지하 719,O,35.157444,129.050185
221,가야역,Gaya,051-678-6221,부산광역시 부산진구 가야대로 지하 650,O,35.155883,129.042817
222,동의대역,Dongeui Univ.,051-678-6222,부산광역시 부산진구 가야대로 지하 554,O,35.153986,129.03275
223,개금역,Gaegeum,051-678-6223,부산광역시 부산진구 가야대로 지하 442,O,35.153284,129.020533
224,냉정역,Naengjeong,051-678-6224,부산광역시 사상구 가야대로 지하 362-1,O,35.151254,129.012255
225,주례역,Jurye,051-678-6225,부산광역시 사상구 가야대로 지하 292,O,35.150508,129.003077
226,감전역,Gamjeon,051-678-6226,부산광역시 사상구 사상로 지하 93-1,O,35.155528,128.991146
227,사상역,Sasang,051-678-6227,부산광역시 사상구 사상로 지하 203,O,35.162361,128.984621
228,덕포역,Deokpo,051-678-6228,부산광역시 사상구 사상로 지하 320-1,O,35.173754,128.983955
229,모덕역,Modeok,051-678-6229,부산광역시 사상구 사상로 지하 409,O,35.180366,128.985621
230,모라역,Mora,051-678-6230,부산광역시 사상구 사상로 지하 498,O,35.189663,128.988655
231,구남역,Gunam,051-678-6231,부산광역시 북구 백양대로 지하 1026,O,35.196804,128.994928
232,구명역,Gumyeong,051-678-6232,부산광역시 북구 백양대로 지하 1094,O,35.20252,128.999322
233,덕천역(2호선),Deokcheon,051-678-6233,부산광역시 북구 금곡대로 지하 14,O,35.210219,129.005673
234,수정역,Sujeong,051-678-6234,부산광역시 북구 금곡대로 지하 160,O,35.223356,129.009198
235,화명역,Hwamyeong,051-678-6235,부산광역시 북구 금곡대로 지하 311,O,35.236278,129.013918
236,율리역,Yulli,051-678-6236,부산광역시 북구 금곡대로 지하 440,O,35.246714,129.012918
237,동원역,Dongwon,051-678-6237,부산광역시 북구 금곡대로 575,O,35.258656,129.012392
238,금곡역,Geumgok,051-678-6238,부산광역시 북구 금곡대로 685,O,35.267248,129.0169054
239,호포역,Hopo,051-678-6239,경상남도 양산시 동면 양산대로 62,O,35.280406,129.017097
240,증산역,Jeungsan,051-678-6240,경상남도 양산시 물금읍 메기로 168,N,35.308302,129.010246
241,부산대양산캠퍼스역,Pusan Nat''''''''l Univ. Yangsan Campus,051-678-6241,경상남도 양산시 물금읍 메기로 270,O,35.316955,129.0139408
242,남양산역,Namyangsan,051-678-6242,경상남도 양산시 동면 메기로 380,O,35.325359,129.019457
243,양산역,Yangsan,051-678-6243,경상남도 양산시 강변로 441,O,35.33872773,129.026391
301,수영역(3호선),Suyeong,051-678-6301,부산광역시 수영구 수영로 지하 677,O,35.167753,129.11459
302,망미역,Mangmi,051-678-6302,부산광역시 수영구 연수로 지하 337,O,35.171528,129.108225
303,배산역,Baesan,051-678-6303,부산광역시 연제구 연수로 지하 229,O,35.173504,129.095498
304,물만골역,Mulmangol,051-678-6304,부산광역시 연제구 월드컵대로 지하 23,O,35.176808,129.085748
305,연산역(3호선),Yeonsan,051-678-6305,부산광역시 연제구 중앙대로 지하 1101,O,35.186173,129.081526
306,거제역,Geoje,051-678-6306,부산광역시 연제구 월드컵대로 지하 209,O,35.188589,129.073941
307,종합운동장역,Sports Complex,051-678-6307,부산광역시 연제구 아시아드대로 지하 73,O,35.19125,129.067504
308,사직역,Sajik,051-678-6308,부산광역시 동래구 아시아드대로 지하 153,O,35.198998,129.064996
309,미남역(3호선),Minam,051-678-6309,부산광역시 동래구 아시아드대로 지하 232,O,35.205503,129.068061
310,만덕역,Mandeok,051-678-6310,부산광역시 북구 만덕대로 지하 291,O,35.213,129.036527
311,남산정역,Namsanjeong,051-678-6311,부산광역시 북구 만덕대로 지하 179,O,35.21334,129.023928
312,숙등역,Sukdeung,051-678-6312,부산광역시 북구 만덕대로 지하 79,O,35.21197,129.012749
313,덕천역(3호선),Deokcheon,051-678-6313,부산광역시 북구 금곡대로 지하 14,O,35.210215,129.005671
314,구포역,Gupo,051-678-6314,부산광역시 북구 낙동대로 1697,O,35.206697,128.996366
315,강서구청역,Gangseo-gu Office,051-678-6315,부산광역시 강서구 낙동북로 485,O,35.211247,128.981756
316,체육공원역,Sports Park,051-678-6316,부산광역시 강서구 낙동북로 371,O,35.212577,128.9696515
317,대저역,Daejeo,051-678-6317,부산광역시 강서구 낙동북로 295,O,35.213386,128.9610488
401,미남역(4호선),Minam,051-678-6401,부산광역시 동래구 아시아드대로 지하 232,O,35.207116,129.069172
402,동래역(4호선),Dongnae,051-678-6402,부산광역시 동래구 충렬대로 지하 147,O,35.204834,129.077082
403,수안역,Suan,051-678-6403,부산광역시 동래구 충렬대로 지하 223,O,35.201828,129.083806
404,낙민역,Nangmin,051-678-6404,부산광역시 동래구 충렬대로 지하 285,O,35.200254,129.090774
405,충렬사역,Chungnyeolsa,051-678-6405,부산광역시 동래구 반송로 지하 205,O,35.199859,129.097636
406,명장역,Myeongjang,051-678-6406,부산광역시 동래구 반송로 지하 281,O,35.205143,129.101517
407,서동역,Seo-dong,051-678-6407,부산광역시 금정구 반송로 지하 387,O,35.213333,129.107683
408,금사역,Geumsa,051-678-6408,부산광역시 금정구 반송로 지하 465,O,35.215829,129.115153
409,반여농산물시장역,Banyeo Agricultural Market,051-678-6409,부산광역시 해운대구 반송로 550,O,35.217779,129.124061
410,석대역,Seokdae,051-678-6410,부산광역시 해운대구 석대천로 121,O,35.21811162,129.137179
411,영산대역,Youngsan Univ.,051-678-6411,부산광역시 해운대구 반송로 803,O,35.225777,129.146149
412,윗반송역,Witbansong,051-678-6412,부산광역시 해운대구 반송로 917,O,35.232506,129.154024
413,고촌역,Gochon,051-678-6413,부산광역시 기장군 철마면 반송로 991,O,35.236031,129.1604437
414,안평역,Anpyeong,051-678-6414,부산광역시 기장군 철마면 반송로 1101,O,35.237363,129.171823
